date,tmin,tmax,tavg,prcp
2006-11-11,8.5,18.133333333333336,,false
2006-11-12,10.200000000000001,16.833333333333332,,true
2006-11-13,12.6,16.666666666666668,,true
2006-11-14,12.4,16.099999999999998,,true
2006-11-15,13.133333333333335,17.233333333333334,,false
2006-11-16,14.633333333333335,20.0,,true
2006-11-17,9.633333333333333,17.96666666666667,,true
2006-11-18,6.5,11.5,,false
2006-11-19,6.3,9.233333333333334,,false
2006-11-20,3.8666666666666667,7.3999999999999995,,false
2006-11-21,1.7,8.166666666666666,,false
2006-11-22,4.233333333333333,8.333333333333334,,true
2006-11-23,5.366666666666667,7.3999999999999995,,true
2006-11-24,5.566666666666666,14.799999999999999,,true
2006-11-25,4.066666666666666,11.133333333333333,,false
2006-11-26,5.366666666666667,14.633333333333335,,false
2006-11-27,7.2,17.033333333333335,,false
2006-11-28,9.1,14.033333333333333,,false
2006-11-29,9.633333333333333,14.799999999999999,,false
2006-11-30,13.333333333333334,18.933333333333334,,false
2006-12-01,10.0,20.2,,true
2006-12-02,4.466666666666667,10.0,,false
2006-12-03,2.2333333333333334,7.6000000000000005,,false
2006-12-04,-0.03333333333333329,5.933333333333333,,false
2006-12-05,-1.3333333333333333,3.3333333333333335,,false
2006-12-06,-0.7333333333333334,9.799999999999999,,false
2006-12-07,-2.6,12.233333333333334,,false
2006-12-08,-7.033333333333332,-0.9333333333333332,,false
2006-12-09,-4.033333333333334,4.066666666666667,,false
2006-12-10,2.066666666666667,12.4,,false
2006-12-11,6.1000000000000005,14.233333333333334,,false
2006-12-12,5.933333333333334,9.799999999999999,,false
2006-12-13,9.066666666666668,13.333333333333334,,true
2006-12-14,7.233333333333333,12.566666666666668,,false
2006-12-15,6.666666666666667,11.299999999999999,,true
2006-12-16,4.633333333333333,10.766666666666666,,false
2006-12-17,4.3,12.966666666666669,,false
2006-12-18,7.066666666666666,15.766666666666666,,false
2006-12-19,2.766666666666667,7.933333333333334,,false
2006-12-20,1.0999999999999999,7.233333333333333,,false
2006-12-21,3.6666666666666665,12.033333333333333,,false
2006-12-22,3.1333333333333333,9.799999999999999,,true
2006-12-23,8.700000000000001,15.200000000000001,,true
2006-12-24,6.666666666666667,11.666666666666666,,false
2006-12-25,3.533333333333333,7.933333333333334,,true
2006-12-26,6.5,12.433333333333332,,true
2006-12-27,3.866666666666667,6.666666666666667,,false
2006-12-28,2.4,9.433333333333332,,false
2006-12-29,2.6,9.066666666666668,,false
2006-12-30,1.1,9.233333333333334,,false
2006-12-31,0.7666666666666666,7.3999999999999995,,false
2007-01-01,7.3999999999999995,13.133333333333335,,true
