date,all_complaints,noise_complaints,homeless_complaints
2010-08-29,2946,939,3
2010-08-30,6163,468,11
2010-08-31,5580,292,10
2010-09-01,6233,441,15
2010-09-02,5732,402,13
2010-09-03,5624,475,12
2010-09-04,3290,1020,9
2010-09-05,2707,1147,5
2010-09-06,2860,1018,8
2010-09-07,6284,466,8
2010-09-08,5896,392,6
2010-09-09,5510,530,6
2010-09-10,5430,700,10
2010-09-11,2975,1047,6
2010-09-12,2695,878,4
2010-09-13,6189,449,7
2010-09-14,6019,564,9
2010-09-15,5936,524,10
2010-09-16,7345,360,8
2010-09-17,8637,548,9
2010-09-18,4401,1094,2
2010-09-19,3438,952,7
2010-09-20,6833,534,5
2010-09-21,6487,533,11
2010-09-22,6135,486,11
2010-09-23,6009,592,12
2010-09-24,5915,652,5
2010-09-25,3529,896,4
2010-09-26,3270,1027,5
2010-09-27,6465,443,9
2010-09-28,6504,452,4
2010-09-29,6262,557,10
2010-09-30,6627,446,8
2010-10-01,7117,532,3
2010-10-02,3684,987,9
2010-10-03,3222,849,4
2010-10-04,7049,421,7
2010-10-05,6315,470,8
2010-10-06,6309,464,4
2010-10-07,6084,513,7
2010-10-08,5803,687,8
2010-10-09,3211,928,4
2010-10-10,3030,1033,4
2010-10-11,3926,606,4
2010-10-12,6755,484,9
2010-10-13,6435,552,2
2010-10-14,6381,476,12
2010-10-15,6462,489,6
2010-10-16,4763,795,3
2010-10-17,3466,827,5
2010-10-18,7095,428,4
2010-10-19,7288,506,10
2010-10-20,7253,466,12
2010-10-21,6999,441,8
2010-10-22,6996,502,6
2010-10-24,2998,823,1
2010-10-25,6149,551,14
2010-10-26,6065,574,8
2010-10-27,5640,457,10
2010-10-28,5586,539,3
2010-10-29,5661,547,4
2010-10-30,4393,795,2
2010-10-31,3915,673,3
2010-11-01,7736,377,7
2010-11-03,7288,467,4
2010-11-04,7306,397,6
2010-11-05,7372,491,5
2010-11-06,4776,727,2
2010-11-08,8713,341,4
2010-11-09,8597,444,5
2010-11-10,8239,403,4
2010-11-11,5190,451,5
2010-11-12,6173,574,9
2010-11-13,4015,925,2
2010-11-15,6507,484,8
2010-11-16,6443,442,1
2010-11-17,6719,383,4
2010-11-18,6531,451,7
2010-11-19,6540,494,10
2010-11-20,4070,703,3
2010-11-21,3761,667,4
2010-11-22,5999,450,8
2010-11-23,5477,466,2
2010-11-24,5909,446,1
2010-11-25,2677,592,2
2010-11-26,4217,547,3
2010-11-27,4549,580,7
2010-11-28,3659,597,3
2010-11-29,7165,422,6
2010-11-30,6688,411,4
2010-12-01,7635,319,6
2010-12-02,7137,363,3
2010-12-03,6772,468,4
2010-12-04,4713,591,6
2010-12-05,4346,593,1
2010-12-06,8800,375,4
2010-12-07,8550,334,7
2010-12-08,7915,333,3
2010-12-09,7740,339,3
2010-12-10,6973,473,3
2010-12-11,4107,647,2
2010-12-12,3256,618,1
2010-12-13,7424,401,3
2010-12-14,8765,371,5
2010-12-15,8642,326,1
2010-12-16,7933,382,1
2010-12-17,6802,433,2
2010-12-18,4235,610,2
2010-12-20,6960,384,9
2010-12-21,6983,356,1
2010-12-22,6317,378,3
2010-12-23,5687,367,4
2010-12-24,3176,557,1
2010-12-28,5154,124,1
2010-12-29,6159,244,1
2010-12-30,5731,329,1
2010-12-31,4215,457,2
2011-01-02,3127,496,4
2011-01-03,7148,397,5
2011-01-04,6655,332,4
2011-01-05,6709,373,1
2011-01-06,6336,387,1
2011-01-07,5394,407,4
2011-01-08,4053,582,1
2011-01-10,7415,341,5
2011-01-11,6478,304,4
2011-01-12,6050,337,2
2011-01-13,7118,347,1
2011-01-14,6714,410,3
2011-01-15,3878,534,1
2011-01-16,3183,618,2
2011-01-17,4834,464,4
2011-01-19,6923,372,5
2011-01-20,6452,401,5
2011-01-21,5893,430,2
2011-01-22,5359,599,4
2011-01-24,9289,351,4
2011-01-25,8207,399,1
2011-01-26,6142,334,6
2011-01-27,4782,319,1
2011-01-28,6716,457,1
2011-01-29,4510,591,4
2011-01-30,3684,490,1
2011-01-31,7131,400,3
2011-02-01,6426,366,3
2011-02-02,6934,308,3
2011-02-03,7470,336,3
2011-02-04,6725,424,3
2011-02-05,3913,619,1
2011-02-06,3396,527,2
2011-02-07,6930,369,6
2011-02-08,7940,269,2
2011-02-09,8183,320,3
2011-02-11,6257,424,2
2011-02-13,3150,572,1
2011-02-14,6532,406,2
2011-02-15,7339,384,2
2011-02-16,6921,419,3
2011-02-17,6663,454,2
2011-02-18,6422,551,3
2011-02-19,4446,532,2
2011-02-20,3916,602,1
2011-02-21,4170,469,5
2011-02-22,7236,417,3
2011-02-23,6880,411,2
2011-02-25,6398,467,2
2011-02-26,3712,703,2
2011-02-28,6502,378,4
2011-03-01,6942,400,3
2011-03-02,6927,363,6
2011-03-03,7222,425,8
2011-03-04,6094,502,7
2011-03-06,3275,530,2
2011-03-07,7140,386,1
2011-03-08,6883,430,5
2011-03-10,6790,332,3
2011-03-11,6845,473,6
2011-03-12,3673,711,4
2011-03-13,2941,586,3
2011-03-14,6610,474,5
2011-03-15,7154,437,5
2011-03-16,6360,426,5
2011-03-17,6038,559,5
2011-03-18,5690,655,5
2011-03-19,3703,704,2
2011-03-20,3092,632,4
2011-03-21,6479,375,4
2011-03-22,6746,364,4
2011-03-23,6238,356,3
2011-03-24,6194,345,2
2011-03-25,5836,461,3
2011-03-26,3953,658,5
2011-03-28,6748,384,3
2011-03-29,6279,381,1
2011-03-30,6251,436,7
2011-03-31,5593,365,4
2011-04-01,5915,486,4
2011-04-02,3383,665,3
2011-04-03,2893,596,3
2011-04-04,5799,437,9
2011-04-05,5553,414,5
2011-04-06,5786,434,1
2011-04-07,6549,475,7
2011-04-08,5792,492,8
2011-04-09,3197,721,3
2011-04-10,2750,615,4
2011-04-11,5970,508,9
2011-04-12,5873,362,4
2011-04-13,6078,378,5
2011-04-14,5900,511,5
2011-04-15,5510,545,7
2011-04-17,2867,575,3
2011-04-18,6048,519,2
2011-04-19,6253,490,5
2011-04-20,6016,514,8
2011-04-21,5676,540,3
2011-04-22,4908,539,3
2011-04-23,3359,643,6
2011-04-25,6336,580,3
2011-04-26,5832,617,7
2011-04-27,6092,547,10
2011-04-28,6043,494,6
2011-04-29,5256,623,3
2011-04-30,3313,852,2
2011-05-01,2659,693,2
2011-05-02,5809,531,4
2011-05-03,6088,518,9
2011-05-04,5910,463,5
2011-05-05,5826,557,7
2011-05-06,5254,546,8
2011-05-07,2986,870,3
2011-05-08,2359,772,4
2011-05-09,5759,564,4
2011-05-10,5780,541,2
2011-05-11,6119,560,7
2011-05-12,5730,527,2
2011-05-13,5336,648,7
2011-05-14,3006,880,4
2011-05-15,2443,684,11
2011-05-16,5666,509,5
2011-05-17,6437,453,7
2011-05-18,6106,430,1
2011-05-19,5994,391,4
2011-05-20,5680,840,6
2011-05-21,3534,1109,3
2011-05-23,5588,515,4
2011-05-24,6193,651,12
2011-05-25,5647,623,8
2011-05-26,5762,686,4
2011-05-27,5394,726,6
2011-05-28,3079,974,3
2011-05-30,3277,933,1
2011-05-31,6940,497,8
2011-06-01,5875,440,10
2011-06-02,6033,478,10
2011-06-03,5498,598,3
2011-06-04,3300,984,1
2011-06-05,2504,834,3
2011-06-06,5982,574,9
2011-06-07,6242,526,12
2011-06-08,6505,426,10
2011-06-09,6505,302,10
2011-06-10,5852,446,10
2011-06-11,3203,741,4
2011-06-12,2543,774,5
2011-06-13,6004,531,5
2011-06-14,6017,487,5
2011-06-15,5869,552,4
2011-06-16,5822,616,8
2011-06-17,5449,513,9
2011-06-18,3529,1023,12
2011-06-19,2763,1018,5
2011-06-20,6132,542,9
2011-06-21,6363,681,8
2011-06-22,5847,415,7
2011-06-23,5816,440,4
2011-06-24,5285,620,3
2011-06-25,3409,994,6
2011-06-26,2495,798,5
2011-06-27,6240,564,11
2011-06-28,6523,527,6
2011-06-29,5921,417,8
2011-06-30,5726,529,9
2011-07-01,5150,605,10
2011-07-02,2975,912,2
2011-07-03,2112,795,5
2011-07-04,2790,963,2
2011-07-05,6542,551,12
2011-07-06,6437,310,11
2011-07-07,6255,513,7
2011-07-08,5424,410,7
2011-07-09,3101,815,6
2011-07-10,2820,859,9
2011-07-11,6305,425,15
2011-07-12,6669,398,13
2011-07-13,6172,444,10
2011-07-14,6243,552,5
2011-07-15,5543,630,7
2011-07-16,3151,1019,5
2011-07-17,2655,851,1
2011-07-18,6006,382,7
2011-07-19,6555,396,14
2011-07-20,6468,393,8
2011-07-21,6558,335,8
2011-07-22,7113,324,4
2011-07-23,4414,496,4
2011-07-24,3402,564,8
2011-07-25,6048,412,3
2011-07-26,6017,412,5
2011-07-27,5758,413,8
2011-07-28,5815,478,8
2011-07-29,5700,483,4
2011-07-30,3363,750,10
2011-07-31,2813,769,8
2011-08-01,6002,386,10
2011-08-02,6333,434,8
2011-08-03,5136,454,4
2011-08-04,5603,502,5
2011-08-05,5476,673,4
2011-08-06,3150,979,3
2011-08-07,2605,781,5
2011-08-08,5693,455,15
2011-08-09,6056,378,8
2011-08-10,5683,475,11
2011-08-11,5800,567,7
2011-08-12,5428,774,9
2011-08-13,3324,1096,4
2011-08-14,3493,614,3
2011-08-15,7210,454,7
2011-08-16,7008,564,5
2011-08-17,6095,613,6
2011-08-18,5860,559,12
2011-08-19,5781,589,5
2011-08-20,3419,990,5
2011-08-21,2809,839,4
2011-08-22,6311,513,10
2011-08-23,5628,415,10
2011-08-24,6179,576,10
2011-08-25,6215,349,9
2011-08-26,3331,184,5
2011-08-27,1725,227,3
2011-08-29,9266,387,3
2011-08-30,8576,601,5
2011-08-31,6632,534,6
2011-09-01,6315,717,9
2011-09-02,5776,791,8
2011-09-03,3593,1170,5
2011-09-04,2968,1258,13
2011-09-05,3588,1152,8
2011-09-06,6827,340,6
2011-09-07,6387,347,8
2011-09-08,7304,430,9
2011-09-09,6474,607,9
2011-09-10,3316,1057,8
2011-09-11,3031,904,3
2011-09-12,6553,540,5
