date,stock_deviation
1970-01-02,0.4529094376734317
1970-01-05,0.4460840948990423
1970-01-06,0.008077319179264464
1970-01-07,-0.15238531359604401
1970-01-08,0.02153792870896254
1970-01-09,-0.15292079533849368
1970-01-12,-0.15211393045527544
1970-01-13,-0.17511214954512333
1970-01-14,-0.19516723815883985
1970-01-15,-0.10478471751724072
1970-01-16,0.2653795927762985
1970-01-19,0.018570916993278175
1970-01-20,-0.08196235235248395
1970-01-21,0.6044936573931139
1970-01-22,0.34528358387095537
1970-01-23,-0.27545650941984867
1970-01-26,-0.4606841483286459
1970-01-27,0.09597423353365464
1970-01-28,-0.004163547285964242
1970-01-29,-0.42971797074590334
1970-01-30,-0.04605182153838072
1970-02-02,0.2172860620277266
1970-02-03,0.42392986161368285
1970-02-04,-0.3720486994300565
1970-02-05,-0.06712136736937957
1970-02-06,0.1665373625499864
1970-02-09,-0.2320102815117142
1970-02-10,-0.016350121370383164
1970-02-11,-0.018954113125801086
1970-02-12,-0.12110582419804139
1970-02-13,0.06966884434223175
1970-02-16,-0.11981210644756146
1970-02-17,0.0033838323184429697
1970-02-18,0.16854900015252028
1970-02-19,0.03666278613465224
1970-02-20,0.2107372911913039
1970-02-24,0.012587319527353813
1970-02-25,0.25370913424662156
1970-02-26,-0.014287659100123307
1970-02-27,0.14446508990866747
1970-03-02,0.12490291361297778
1970-03-03,-0.006333027567180238
1970-03-04,-0.032766543328762054
1970-03-05,-0.20003554650715394
1970-03-06,0.04858464321919875
1970-03-09,0.03611877028431287
1970-03-10,0.01413029432296753
1970-03-11,-0.025277554988861084
1970-03-12,-0.06223051995038986
1970-03-13,0.06254732395921536
1970-03-16,-0.17540148539202605
1970-03-17,-0.12890306115150452
1970-03-18,0.013072795101574997
1970-03-19,-0.06073447104011365
1970-03-20,0.06194862723350525
1970-03-23,-0.08566749628101178
1970-03-24,0.23433527456862713
1970-03-25,0.42524085513183074
1970-03-26,0.07098881793873701
1970-03-30,-0.1664390180792097
1970-03-31,0.05058266116040144
1970-04-01,-0.01967957083667926
1970-04-02,-0.0662600823811097
1970-04-03,0.07230625620909947
1970-04-06,-0.2563826345971645
1970-04-07,-0.053588221115724366
1970-04-08,-0.033615582755633255
1970-04-09,0.06991748724665037
1970-04-10,-0.08407729757683491
1970-04-13,-0.2198650113173901
1970-04-14,-0.1066542736121594
1970-04-15,-0.015386272753989516
1970-04-16,-0.341242615665708
1970-04-17,0.1437174326607149
1970-04-20,-0.12111933635813799
1970-04-21,0.000522024929523468
1970-04-22,-0.048516176640987396
1970-04-23,-0.2605982646346092
1970-04-24,-0.1623807687844554
1970-04-27,-0.16079613247087998
1970-04-28,-0.056798326117652564
1970-04-29,0.30460579480443606
1970-04-30,0.0510390134794374
1970-05-01,0.013120343642574639
1970-05-04,-0.3841719882828851
1970-05-05,-0.12756737640925842
1970-05-06,0.0745700033647676
1970-05-07,-0.10626230229224376
1970-05-08,-0.25248607673815293
1970-05-11,-0.15242712093251143
1970-05-12,0.003702140280177346
1970-05-13,-0.16315935232809586
1970-05-14,0.014236402298722695
1970-05-15,0.26995438763073665
1970-05-18,0.0400769146425386
1970-05-19,-0.17060430135045657
1970-05-20,-0.1824142501822532
1970-05-21,-0.020599661661044877
1970-05-22,-0.029066322637456565
1970-05-25,-0.4574656640844683
1970-05-26,0.018604670252118538
1970-05-27,0.37280244114143457
1970-05-28,0.36458666569420295
1970-05-29,0.31244683797870465
1970-06-01,0.24883029769573817
1970-06-02,0.1203136183321476
1970-06-03,0.15298923424311894
1970-06-04,-0.1875394753047388
1970-06-05,-0.26499239195670476
1970-06-08,0.2387495237801751
1970-06-09,-0.12350546355758496
1970-06-10,-0.02903195470571518
1970-06-11,-0.21980412889804235
1970-06-12,-0.21026269665786224
1970-06-15,-0.07757091628653612
1970-06-16,0.2446212592933854
1970-06-17,-0.005171716745412169
1970-06-18,0.06087319925427437
1970-06-19,0.09559936821460724
1970-06-22,-0.10674562198775206
1970-06-23,-0.4448090557541171
1970-06-24,-0.21971248356359396
1970-06-25,-0.03786289904798679
1970-06-26,-0.03082297529493161
1970-06-29,-0.10028217786124749
1970-06-30,0.009207687739815285
1970-07-01,0.0874633767775137
1970-07-02,0.012921421655585519
1970-07-06,-0.2744565968002597
1970-07-07,-0.20579400765044298
1970-07-08,0.3441094569861889
1970-07-09,0.09087515409503588
1970-07-10,-0.02651136208857885
1970-07-13,0.24474842260990926
1970-07-14,-0.03790922196848179
1970-07-15,-0.08689600442136935
1970-07-16,0.17423889626349798
1970-07-17,0.26738342855657926
1970-07-20,-0.042933506625038476
1970-07-21,-0.11406189203262329
1970-07-22,-0.02932613875184842
1970-07-23,0.14863526395389037
1970-07-24,-0.022551711116518547
1970-07-27,-0.004514361598662475
1970-07-28,-0.04537995638591852
1970-07-29,-0.31394771699394575
1970-07-30,-0.13308590224811034
1970-07-31,-0.1616792657545627
1970-08-03,-0.10343920066952705
1970-08-04,-0.07168982231191379
1970-08-05,0.19806307501026588
1970-08-06,-0.06349613996488657
1970-08-07,0.05503336872373232
1970-08-10,-0.17307129182985825
1970-08-11,0.07058555366737451
1970-08-12,-0.055336023015636115
1970-08-13,0.035158901342324356
1970-08-14,-0.06848354744059826
1970-08-17,-0.0015578152877946394
1970-08-18,0.1474000928657393
1970-08-19,0.12156705238989396
1970-08-20,0.1271294541656971
1970-08-21,0.180126141756773
1970-08-24,0.2585054726472933
1970-08-25,-0.18911977112293243
1970-08-26,0.0774637929030817
1970-08-27,0.003963315061161765
1970-08-28,0.11955380386539893
