date,stock_deviation,all_complaints,noise_complaints,homeless_complaints,tmin,tmax,tavg,prcp
2010-07-27,-516.3359902024822,6319,486,15,22.03333333333333,32.766666666666666,,False
2010-07-28,1440.193044822263,6501,469,5,23.53333333333333,31.5,,False
2010-07-29,1496.8651481189154,5528,378,8,23.66666666666667,31.33333333333333,,True
2010-07-30,-880.0697065692293,5164,518,13,20.0,28.33333333333333,,False
2010-08-02,0.13017629069508985,6616,533,13,20.766666666666666,28.5,,False
2010-08-03,1221.119843907174,6341,538,9,22.4,29.43333333333333,,False
2010-08-04,1932.2587069034414,6237,453,11,23.9,31.66666666666667,,False
2010-08-05,211.87502091010535,6116,378,7,25.16666666666667,34.833333333333336,,True
2010-08-06,1451.2132364508798,5518,489,7,21.66666666666667,31.866666666666664,,False
2010-08-09,-1013.2938420111605,6214,456,13,23.3,32.76666666666666,,False
2010-08-10,-0.8380181870597879,6305,386,15,25.03333333333333,32.96666666666666,,False
2010-08-11,-2735.2668795029317,5939,409,10,24.43333333333333,33.7,,False
2010-08-12,1848.8786251308047,5498,385,10,20.933333333333334,24.96666666666667,,True
2010-08-13,-459.7752905388916,5348,616,3,20.366666666666667,27.43333333333333,,False
2010-08-16,-225.2820329052338,5904,451,7,21.5,29.43333333333333,,True
2010-08-17,1602.3823737724015,6088,438,4,23.7,32.766666666666666,,False
2010-08-18,-1380.0143878026647,5589,404,11,22.4,29.066666666666666,,False
2010-08-19,-1018.8966851260776,5786,504,9,20.53333333333333,31.866666666666664,,False
2010-08-20,-1672.9798711004767,5157,515,4,22.766666666666666,32.56666666666667,,False
2010-08-23,1457.8781611242953,6476,433,3,18.666666666666668,21.86666666666667,,True
2010-08-24,-1637.8871501828037,6007,549,12,17.966666666666672,21.66666666666667,,True
2010-08-25,1860.8458449985337,5869,492,4,17.8,21.133333333333333,,True
2010-08-26,-761.2084088227347,5574,610,6,19.433333333333334,28.33333333333333,,False
2010-08-27,-224.49413257223927,5510,711,12,16.666666666666668,26.3,,False
2010-08-30,549.6742744431393,6163,468,11,22.03333333333333,33.13333333333333,,False
2010-08-31,-616.4595975639095,5580,292,10,24.23333333333333,35.566666666666656,,False
2010-09-01,1363.951101634535,6233,441,15,24.266666666666666,34.833333333333336,,False
2010-09-02,888.664380182905,5732,402,13,25.2,32.766666666666666,,False
2010-09-03,-1704.8820896403995,5624,475,12,23.9,29.03333333333333,,False
2010-09-07,2040.2257244627765,6284,466,8,20.0,30.03333333333333,,False
2010-09-08,-716.3012492573324,5896,392,6,19.066666666666666,32.56666666666667,,False
2010-09-09,-1244.5761698701972,5510,530,6,17.033333333333335,22.2,,False
2010-09-10,0.8732787697736057,5430,700,10,16.466666666666665,23.3,,False
2010-09-13,1602.8135622885093,6189,449,7,14.633333333333335,24.6,,True
2010-09-14,-2195.0085618075536,6019,564,9,16.133333333333333,24.96666666666667,,False
2010-09-15,1376.9226745233245,5936,524,10,14.433333333333332,22.4,,False
2010-09-16,3064.206545134861,7345,360,8,13.733333333333334,22.966666666666665,,True
2010-09-17,-2779.850642892911,8637,548,9,15.933333333333332,22.6,,True
2010-09-20,-455.76400927165383,6833,534,5,15.566666666666668,23.133333333333336,,False
2010-09-21,-0.4519503274132149,6487,533,11,12.966666666666667,22.4,,False
2010-09-22,-1588.809719923709,6135,486,11,17.966666666666672,29.3,,True
2010-09-23,257.5837539595741,6009,592,12,19.266666666666666,26.866666666666664,,False
2010-09-24,-290.7721032857371,5915,652,5,20.0,28.133333333333336,,False
2010-09-27,1448.3725732788953,6465,443,9,16.666666666666668,23.33333333333333,,True
2010-09-28,-190.50758343979402,6504,452,4,21.3,23.5,,True
2010-09-29,-546.4097699864942,6262,557,10,17.933333333333334,25.96666666666667,,False
2010-09-30,123.50650617309292,6627,446,8,20.933333333333334,24.83333333333333,,True
2010-10-01,481.4249314480112,7117,532,3,14.8,23.866666666666664,,True
2010-10-04,-2355.127818762121,7049,421,7,11.666666666666664,13.7,,True
2010-10-05,1751.1273988517132,6315,470,8,12.6,17.400000000000002,,True
2010-10-06,-1303.8775681656045,6309,464,4,12.766666666666666,18.5,,True
2010-10-07,1288.670045351013,6084,513,7,12.066666666666668,22.23333333333333,,False
2010-10-08,366.33625769046193,5803,687,8,12.933333333333332,23.33333333333333,,False
2010-10-11,-466.19635287415434,3926,606,4,14.466666666666667,24.266666666666666,,True
2010-10-12,711.9610663388958,6755,484,9,12.566666666666668,21.133333333333336,,True
2010-10-13,-511.5576046076385,6435,552,2,9.266666666666666,18.53333333333333,,False
2010-10-14,345.8480533751572,6381,476,12,10.0,17.933333333333334,,True
2010-10-15,-632.2052459253173,6462,489,6,10.0,14.833333333333336,,True
2010-10-18,-331.53581420621055,7095,428,4,10.366666666666667,16.133333333333336,,False
2010-10-19,-242.86630937708102,7288,506,10,9.066666666666668,15.566666666666668,,True
2010-10-20,-31.50110440658318,7253,466,12,8.9,15.566666666666668,,False
2010-10-21,576.6274857035752,6999,441,8,9.8,17.400000000000002,,True
2010-10-22,1454.2502661238468,6996,502,6,8.333333333333334,12.233333333333334,,False
2010-10-25,-842.6573244612082,6149,551,14,12.033333333333333,22.4,,False
2010-10-26,-576.8020918729162,6065,574,8,17.033333333333335,21.866666666666664,,False
2010-10-27,-388.68687143782165,5640,457,10,18.133333333333336,22.399999999999995,,True
2010-10-28,-1873.1812820330304,5586,539,3,13.300000000000002,24.03333333333333,,False
2010-10-29,-875.5538437262877,5661,547,4,8.866666666666667,14.633333333333333,,False
2010-11-01,-1977.1168634686621,7736,377,7,3.1666666666666665,9.8,,False
2010-11-03,-221.4352577373284,7288,467,4,4.433333333333334,12.033333333333333,,False
2010-11-04,2168.928950370777,7306,397,6,8.333333333333334,10.766666666666666,,True
2010-11-05,1767.5025937274474,7372,491,5,7.566666666666666,11.866666666666665,,True
2010-11-08,4134.325672838997,8713,341,4,5.0,7.6,,True
2010-11-09,-346.11939121352043,8597,444,5,5.366666666666667,12.4,,False
2010-11-10,2476.285949372053,8239,403,4,7.966666666666668,14.033333333333333,,False
2010-11-11,2542.483541037982,5190,451,5,5.4,13.866666666666667,,False
2010-11-12,-1049.1557162965546,6173,574,9,6.2666666666666675,17.766666666666666,,False
2010-11-15,295.9586779552483,6507,484,8,9.633333333333336,14.466666666666667,,False
2010-11-16,-2786.368979310195,6443,442,1,10.933333333333332,15.366666666666667,,True
2010-11-17,828.4818017395593,6719,383,4,10.966666666666667,16.333333333333332,,True
2010-11-18,-2122.5590657795256,6531,451,7,7.566666666666666,13.133333333333335,,True
2010-11-19,-33.30879549810197,6540,494,10,4.6000000000000005,9.433333333333334,,False
2010-11-22,-2956.525239003473,5999,450,8,7.2,17.766666666666673,,False
2010-11-23,795.2456152300218,5477,466,2,10.366666666666667,16.3,,False
2010-11-24,-295.43048151846597,5909,446,1,5.366666666666667,10.566666666666668,,False
2010-11-26,2217.4105487062693,4217,547,3,4.233333333333333,12.033333333333333,,True
2010-11-29,-2500.828932149998,7165,422,6,1.6666666666666667,9.466666666666667,,False
2010-11-30,4655.207714573786,6688,411,4,7.400000000000001,14.066666666666668,,True
2010-12-01,1671.353621266593,7635,319,6,4.8,15.933333333333332,,True
2010-12-02,-8376.407374106508,7137,363,3,1.4666666666666668,6.333333333333332,,False
2010-12-03,-5574.801710070693,6772,468,4,1.3,5.2,,False
2010-12-06,-1807.7135236640606,8800,375,4,-0.5666666666666668,2.0333333333333337,,False
2010-12-07,-1625.6070718677802,8550,334,7,-0.3666666666666667,3.1333333333333333,,False
2010-12-08,-1260.2671461934951,7915,333,3,-2.033333333333333,1.8333333333333333,,False
